Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
c1c04a55-0dd5-48e2-9cc6-76bbcc1899fd___GH_HL Leaf 340.1.JPG,Label 1,132.83575295275594,220.58094116188232,150.8190206692914,199.37243474486948,0.7335102127576802,0.6853469769689337,0.7343838827269482,0.691250519681266,3.055733267716537,4.318060636121272,3.1835629921259856,4.14743629487259,3.22900225777715,3.3904336738829386,3.2369048744323887,3.3815248396588173,0.35058735467812746,0.3428397896537872,0.3499989116677454,0.34344080145783207,0.5921041755283671,0.5855252254632478,0.591607058500611,0.5860382252531247,0.9768653103881543,0.9616866926275053,0.9737333424685178,0.9653704561520711
c1dfd66e-7c0c-40a7-8280-0aa1aaf5436b___GH_HL Leaf 431.JPG,Label 1,139.72773129921262,170.03496806993607,102.90305118110237,196.25271250542497,0.7976386909564406,0.7649985752857684,0.8024040475149999,0.7611732274798892,2.6893454724409454,3.28265856531713,2.2511072834645676,3.5684791369582736,2.621586123384841,2.723315729737238,2.592207765584327,2.738021937253573,0.486274215468353,0.4818327508810761,0.48903107724428363,0.4798506900628407,0.6973336471649371,0.6941417368816516,0.6993075698462613,0.6927125594810886,0.9728309092063363,0.9670899751746876,0.9799912135229795,0.9620155682451622
c2c1758f-3576-4e8a-9853-5f11ac4d20d6___GH_HL Leaf 316.1.JPG,Label 1,140.2827263779528,203.72484344968683,128.35100885826776,191.6749953499907,0.7328638706970049,0.6868204802127518,0.735923490684495,0.6902969262070743,3.0055364173228356,4.093868187736375,2.820374015748032,3.8449996899993804,3.3499272553483226,3.5109824136677554,3.340327275376166,3.491896572759782,0.3520690267088543,0.3451771777993305,0.35351778198673606,0.3464243147718735,0.5933540483630784,0.5875178106230742,0.5945736135977917,0.5885782146595927,0.9731543822308185,0.9611190190296585,0.9754377305526948,0.963418738134734
c6acee22-6c56-41a8-ae90-26c6064e0261___GH_HL Leaf 468.JPG,Label 1,163.29096948818895,229.19275838551687,150.35494586614172,245.31378262756527,0.7441385422041317,0.6977766265886746,0.7408418377431542,0.6956701620956117,2.874138779527559,3.849959699919401,2.69943405511811,3.9521359042718083,3.2696636835497173,3.4268494778424063,3.269185652058466,3.428730722537385,0.34962294509549946,0.3430050765489344,0.350901726034409,0.3426390897669886,0.591289222881239,0.5856663525839045,0.5923695856763824,0.5853538158814621,0.9732557729805812,0.9625605017215043,0.9753744691556417,0.9599270718365056
c7cedd2f-dfae-4232-9cab-d75197d48948___GH_HL Leaf 226.6.JPG,Label 1,202.73818897637793,332.04650009300013,255.97933070866148,347.4169508339017,0.7044647313804207,0.6533067012022352,0.7022436273692675,0.6557218825768211,3.726254921259843,5.325934651869303,4.103100393700788,5.409634819269638,3.605387943035632,3.7808892385506123,3.6219238375881004,3.7816574368160163,0.31565089784232303,0.30750564836736316,0.3140495452133483,0.3068303317460995,0.5618281746604766,0.5545319182584202,0.5604012359134732,0.5539226766852027,0.9752050997583419,0.959470433989952,0.9686937029432221,0.9575943181515587
c8a610ce-ef41-42b4-ad46-fe82891ac4e0___GH_HL Leaf 258.JPG,Label 1,201.0203001968504,306.4389608779218,189.39271653543312,269.0846301692603,0.7970672649874638,0.7664071903025224,0.8000995976789002,0.7640660885393297,3.3282480314960634,4.467480934961871,3.0724655511811036,4.292640585281171,2.6095705072218456,2.7201230560443306,2.592921262456989,2.722668915297247,0.5008435010156153,0.49427823692897055,0.5024043685172332,0.49444372179090945,0.7077029751354839,0.7030492421793587,0.7088048874811976,0.703166923134834,0.9695090222860668,0.9537417682895208,0.9712727068191214,0.9593805593895841
ca4e96c1-9bf0-49fb-804f-c895905c0584___GH_HL Leaf 210.2.JPG,Label 1,135.55856299212604,200.61218922437845,152.964812992126,230.20522041044086,0.7471717112391062,0.6986327159944891,0.7390520335799758,0.6924666854719309,2.9478346456692925,3.997147994295989,3.1417322834645676,4.325624651249302,3.146379058168658,3.3011330627165214,3.1742389427358937,3.3225609545708896,0.35910392920639383,0.35173450296060477,0.35851728746914524,0.3501660043806168,0.5992528090934525,0.5930720891768595,0.5987631313542486,0.5917482609865591,0.9724072778191639,0.9592827730931796,0.9688642643063393,0.953276427365524
ca9e9564-bf57-4e2e-837f-a847db99a316___GH_HL Leaf 401.JPG,Label 1,112.98843503937009,174.86167772335543,110.95410925196853,164.7330894661789,0.7518145474501398,0.7089855660975387,0.755345593266339,0.7107880572639512,2.663754921259842,3.6475912951825906,2.520300196850394,3.5772831545663086,3.1504503926746477,3.3031086051509257,3.1378676850415257,3.2978134931187735,0.37923063809994795,0.37247916631117545,0.38044877933017585,0.37263163149303513,0.6158170492118158,0.610310712925126,0.6168053009906577,0.6104356079825579,0.9756128104014983,0.9623787024290053,0.9760518950623771,0.964557857048579
caa60224-1c60-455e-8b7c-e73626af84c1___GH_HL Leaf 214.JPG,Label 1,137.88804133858267,209.27013454026908,146.69832677165357,215.75001550003103,0.6963682361111606,0.6456866590398302,0.6960285779139328,0.6423963951386997,3.5652066929133857,4.826585653171308,3.6059301181102374,4.9524459048918095,3.695952295524832,3.871631057626246,3.692630211937975,3.876154392324081,0.30361440666729,0.2969051167192794,0.3035450652200133,0.2955492998220171,0.5510121656254878,0.5448900042387265,0.5509492401483219,0.543644460858397,0.9721591242134165,0.9578259456839646,0.9703802457841827,0.9565200601013952
cbb3f283-baaa-40b1-9e46-3414d8f74f99___GH_HL Leaf 231.1.JPG,Label 1,211.81286909448818,336.0250480500961,247.41793799212607,340.5474610949222,0.6943369082745752,0.6402171092233534,0.6927048974666379,0.6398858642508575,3.7022637795275593,5.266910533821068,3.9505413385826778,5.233306466612933,3.8572551392172434,4.051810769932878,3.8671656680505992,4.047533803619766,0.2873161543442228,0.27947231671014894,0.28651672208129564,0.2794061631275348,0.5360188003645234,0.5286514132300688,0.5352725680261372,0.5285888412817044,0.9716319099069468,0.9550571423452775,0.9668633242842901,0.9544522762291683
cbd86fc5-7f88-4984-a1ed-445de8b76573___GH_HL Leaf 354.1.JPG,Label 1,130.53617125984255,210.1119722239445,147.41215551181105,197.52011904023817,0.7392322005856623,0.6989095963067644,0.7430835816384771,0.6999624976433722,3.113435039370079,4.314588629177258,3.187007874015748,4.200632401264804,3.2209760231493703,3.368229762759038,3.216564885437533,3.364306703244585,0.3806900855989212,0.3735792504755076,0.380775358474545,0.3741809311382279,0.6170008797391793,0.6112112977322226,0.6170699785879596,0.6117033031938179,0.972859942486774,0.9564584125987942,0.9693512201244565,0.9590678273319875
